id,cd_setor,cod_ibge,cd_uf,total_population,avg_income,pct_u20,pct_o60,pct_wy,pct_bbi,pct_lit,pct_pip,pct_sew,pct_gar,pct_slight,pct_paved,pct_tree,pct_drain,pct_swalk,pct_whcair,pct_bus,igni,ehtd,eprd,edrm,city_type,CRI
415,221100105070023,221100.0,22.0,1011.0,1607.79,39.861523244312565,5.539070227497527,,,,100.0,16.722408026755854,,100.0,100.0,38.46153846153846,0.0,95.31772575250837,0.0,8.695652173913043,0.7333333333333333,10.733333333333333,3.866666666666666,0.0666666666666666,Capital Regional,0.1968917380962444
416,221100105100256,221100.0,22.0,749.0,2751.98,36.3150867823765,4.939919893190921,20.560747663551403,79.43925233644859,,100.0,3.26530612244898,,100.0,100.0,26.530612244897952,0.0,100.0,1.2244897959183674,0.0,2.933333333333333,7.0,3.733333333333333,0.0,Capital Regional,0.1828205750097915
417,221100105100265,221100.0,22.0,1098.0,2195.64,35.51912568306011,5.373406193078324,26.684881602914388,73.31511839708561,69.94535519125684,100.0,48.725212464589234,100.0,100.0,100.0,45.892351274787536,0.0,100.0,2.8328611898016995,0.8498583569405099,2.933333333333333,7.0,3.733333333333333,0.0,Capital Regional,0.2019820344084102
419,221100105080253,221100.0,22.0,907.0,1833.66,35.391400220507165,4.851157662624035,19.18412348401323,,68.1367144432194,99.65517241379312,3.103448275862069,,100.0,100.0,36.55172413793103,0.0,100.0,4.137931034482759,11.724137931034482,0.7333333333333333,10.733333333333333,3.866666666666666,0.0666666666666666,Capital Regional,0.1983238524297161
420,221100105100260,221100.0,22.0,660.0,4189.8,22.727272727272727,1.9696969696969693,,,80.75757575757575,100.0,46.84385382059801,100.0,100.0,100.0,0.0,0.0,100.0,0.0,0.0,0.4,8.666666666666666,3.733333333333333,0.5333333333333333,Capital Regional,0.2344113163347614
421,221100105080255,221100.0,22.0,879.0,1660.51,34.926052332195674,3.981797497155859,,77.7019340159272,69.16951080773606,99.63898916967509,3.9711191335740073,99.63898916967509,100.0,100.0,46.57039711191336,14.07942238267148,98.91696750902528,0.0,22.02166064981949,0.7333333333333333,10.733333333333333,3.866666666666666,0.0666666666666666,Capital Regional,0.2118292237763907
422,221100105100347,221100.0,22.0,190.0,1647.4,24.21052631578948,8.947368421052632,22.105263157894736,77.89473684210526,,96.82539682539682,0.0,82.53968253968254,100.0,84.12698412698413,79.36507936507937,57.142857142857146,80.95238095238095,13.72549019607843,7.936507936507937,0.4,8.4,3.733333333333333,0.5333333333333333,Capital Regional,0.2352239641078522
423,221100105100263,221100.0,22.0,986.0,3165.46,35.09127789046653,3.4482758620689653,21.70385395537525,,,100.0,1.567398119122257,100.0,100.0,100.0,57.05329153605015,2.19435736677116,98.7460815047022,0.0,11.598746081504702,0.4,8.666666666666666,3.733333333333333,0.0666666666666666,Capital Regional,0.2128205282982021
424,221100105070251,221100.0,22.0,551.0,1730.77,38.2940108892922,4.900181488203267,17.96733212341198,82.03266787658802,67.87658802177859,100.0,91.19170984455958,100.0,100.0,100.0,63.73056994818653,0.0,100.0,0.0,54.40414507772021,0.7333333333333333,8.066666666666666,3.866666666666666,0.0666666666666666,Capital Regional,0.2390883781120666
430,221100105070251,221100.0,22.0,551.0,1730.77,38.2940108892922,4.900181488203267,17.96733212341198,82.03266787658802,67.87658802177859,100.0,91.19170984455958,100.0,100.0,100.0,63.73056994818653,0.0,100.0,0.0,54.40414507772021,0.7333333333333333,8.066666666666666,3.866666666666666,0.0666666666666666,Capital Regional,0.2390883781120666
